ID	MSLG	SPA
284	ESA PIEDRA BONITA BRILLO MUCHO	Esa piedra está muy bonita, brilla mucho.
454	NADA YO NO-QUERER NADA	No quiero nada.
337	dm-MIGUEL ÉL QUERER NOVIO+MUJER PERO NO-ATREVERSE	Miguel quiere declarse a su amiga, pero no se atreve.
735	CHAPULTEPEC HABER LAGO	En Chapultepec hay un lago.
298	ENTRAR ANIMAL NIÑO VER MONO	El niño ve un mono en el zoológico.
334	PELÍCULAS CON SUBTÍTULOS MI NOVIO NOSOTROS-DE-DOS VER	Mi novio y yo vemos películas con subtítulos.
31	MAÑANA AMANECER NOSOTROS ENCONTRAR	Nosotros nos encontraremos mañana al amanecer.
640	TÚ BASURA TIRAR	Tira la basura.
352	DELEGACIÓN YO YA IR ACTA LEVANTAR	Yo fui a levantar un acta a la delegación.
145	QUIZÁ YO LLEGAR TARDE TRABAJO ELLOS PODER DESPEDIR	Si llego tarde al trabajo, me pueden despedir.
463	HOY CUMPLEAÑOS MÍ	Hoy es mi cumpleaños.
353	MI AMIGO dm-JULIO TENER ACTA-DEMANDA	Mi amigo Julio tiene un acta de demanda.
739	LENGUA MÁS HABLA CHINA, INGLATERRA, ESPAÑA	Las lenguas más habladas son el chino, el inglés y el español.
67	PAVO COMIDA BASICA NAVIDAD	Los pavos son la comida básica en Navidad
947	NOCHE OSCURA	La noche está muy oscura.
466	INDIA SÉPTIMO PAÍS MÁS GRANDE MUNDO	La India es el séptimo país más grande del mundo.
356	ACTOR dm-TOM CRUICE FAMOSO	Tom Cruice es un actor muy famoso.
489	PANADERÍA YO IR	Yo voy a la panadería.
969	SUBURBANO VIAJAR VELOCIDAD	En suburbano se viaja más rápido.
675	YO JUGAR PARTICIPAR DEPORTIVO-GALEANA	Tengo un partido en el Deportivo Galeana.
245	MAÑANA YO VIAJAR ÁFRICA	Mañana voy a viajar a África.
909	AYER MI HERMANO PASTEL ÉL DAR MÍ	Mi hermano no me dio pastel ayer.
927	VECINO Él PEDIR MI CARRO MOVER	El vecino me pidió mover mi carro.
368	ALCOHOL YO NO-GUSTAR	A mí no me gusta el alcohol.
768	DOS-DE-NOSOTROS NOS-VEMOS MAÑANA NOCHE	Nos vemos mañana en la noche.
26	TODOS IGLESIA GRITAR ¡ALELUYA!	Todos en la iglesia gritan ¡aleluya!
687	CIUDAD-DE-MÉXICO ENORME	La Ciudad de México es enorme.
195	MI AMIGO+MUJER MODELO SU REVISTA	Mi amiga es modelo de una revista.
599	JOVEN HOMBRE DEPORTE RAFTING	El deportista de rafting es joven.
125	YO YA CONVENCER MI AMIGO IR FIESTA	Convencí a mi amigo de ir a la fiesta.
50	ESCUELA CONSTRUCCIÓN YA AVANZADA	La construcción de la escuela ya está avanzada.
65	MAÑANA BARCO YA LLEGAR	El barco llegó en la mañana.
235	INVIERNO dm-JOSÉ TOS ENFERMAR	José se enfermó de tos en invierno.
576	SEMANA PASADA PASTO MÍ PAPÁ HOZ CORTAR	La semana pasada mi papá cortó la hierba con la hoz.
895	SIEMPRE ELLOS DISCUTIR	Ellos siempre discuten.
227	PIZZA OCHO ELLOS REBANAR	Ellos rebanaron la pizza en ocho partes.
796	MI HERMANO+MUJER NO NACER TEXAS	Mi hermana no nació en Texas.
275	YO CONOCER BANGLADESH YA BONITO VERDAD	Yo conozco Bangladesh, es muy bonito de verdad.
769	ESE VESTIDO FEO YO NO-GUSTAR	Ese vestido es feo, no me gusta.
788	YO IR BANCO DINERO RETIRAR	Voy al banco a retirar dinero.
857	dm-JUAN GABRIEL NACER CIUDAD JUÁREZ	Juan Gabriel nació en Ciudad Juárez.
513	MI NÚMERO TELÉFONO SUSPENDER YA	Ya suspendieron mi número de teléfono.
3	¿Y-ESO?	¿Y eso?
404	TUYO SOBRINO ATRÁS MI ESPOSO	Tu sobrino está atrás de mi esposo.
710	LUGAR ESCUELA NOSOTROS APRENDER GRAMÁTICA	Nosotros aprendemos gramática en la escuela.
253	TÚ EMBARAZO, YA LUEGO TÚ AMAMANTAR	Tú estás embarazada, después vas a amamantar.
566	DICIEMBRE MUCHAS PERSONAS ESQUIAR IR	En diciembre muchas personas van a esquiar.
558	SIEMPRE TODO TU ESPOSO DAR-EL-AVIÓN	Tu esposo siempre me da el avión en todo.
331	ESE BLANCO GATO RASGUÑAR	Ese gato blanco rasguña.
597	HOMBRE GOBERNADOR PUBLICIDAD COLOCAR COLOCAR CALLES	El gobernador colocó mucha publicidad por las calles.
512	AYER SUÉTER YO COMPRAR	Ayer compré un suéter.
614	ALGUNA PERSONA QUERER DONAR SANGRE PODER VENIR HOSPITAL	Alguna persona que quiera donar sangre puede venir al hospital.
314	ÉL YA COMPRAR #TV CONTADO	Él compró esa televisión de contado.
86	TELÉFONO MI LISTA CONTACTO CONTACTO YO YA BORRAR	Borré los contactos de mi teléfono.
944	MI PRIMO ORIZABA VIVIR	Mi primo vive en Orizaba.
880	AYER MI AUTOMÓVIL YO ENTREGAR-ENGANCHE	Ayer entregué el enganche de mi auto.
379	ALGUNAS PERSONAS ANALFABETO	Algunas personas son analfabetas.
588	MALETA-DE-RUEDAS MEJOR CUERPO NO DOLER	Usa maleta de ruedas mejor, no lastima el cuerpo.
573	HOY YO IR ZOOLOGICO YO VER YA GORILA	Hoy fuí al zoológico y vi un gorila.
435	SUEGRO MI PRIMO dm-SAMUEL ÉL CIEGO ÉL	El suegro de mi primo Samuel es ciego.
406	AUSTRÍA SU PAÍS HERMOSO	Austria es un país hermoso.
488	PAN BOLILLO TÚ COMPRAR	Compra pan bolillo.
801	ÉL DESEAR CONQUISTAR ELLA MUJER PERO MIEDO ELLA ABANDONAR	Él desea conquistar a una mujer, pero tiene miedo de que lo abandonen.
798	VAGINA ADENTRO CUERPO ORIGINAL MUJER	La vagina es un órgano femenino.
449	YO VIAJAR CONTIGO	Yo no viajo contigo.
122	MI GATO ACARICIAR TRANQUILO	Yo acaricio a mi gato, él es muy tranquilo.
424	CADA NIÑO ESCUELA TENER COMPUTADORA PARA TRABAJAR	En la escuela cada niño tiene una computadora para trabajar.
6	NO ABOFETEAR MI	No me abofetees.
269	YO ASUSTAR ARAÑAS YO MIEDO	Me asusto con las arañas, me dan miedo.
839	MI MAMÁ CATÓLICA	Mi mamá es católica.
610	NECESITAR EJERCICIO EJERCICIO PARA SALUD	Es necesario hacer ejercicio para estar sano.
916	SIEMPRE MI FAMILIA TELETÓN DONAR DONAR	Mi familia siempre dona a Teletón.
262	YO NO GUSTAR ARAÑA	A mí no me gustan las arañas.
213	DISFRAZ HACER. PAPEL	El disfraz está hecho de papel
306	YO CONFUNDIR TI TU MAMÁ USTEDES-DEDOS PARECIDOS	Te confundo a ti y a tu mamá porque se parecen.
688	HOMBRE DUEÑO DENTRO ESA FÁBRICA ANTES ÉL ACUSAR ENRIQUECIMIENTO-ILÍCITO	El dueño de esa fábrica fue acusado de enriquecimiento ilícito.
134	HACE-PASADO CRISTÓBAL-COLÓN DESCUBRIR AMÉRICA	Cristóbal Colón descubrió América hace años.
679	SUYO SECRETO YO YA DESCUBRIRSE YA	Ya descubrí su secreto.
854	MI PAPÁ CINTURÓN YO REGALAR ÉL	Le regalé un cinturón a mi papá.
61	BANDERA MEXICANA TENER TRES COLORES	La bandera mexicana tiene tres colores.
80	PERSONAS SORDAS TENER SU DERECHO EDUCACIÓN BILINGÜE	Las personas sordas tienen derecho a una educación bilingüe.
490	YO GUSTAR PAPA	Me gustan las papas.
19	CITA DOCTOR ESCRIBIR ANOTAR-AGENDA	El doctor anota la cita en la agenda.
93	¡BUENA NOCHE TÚ DESCANSAR!	¡Buenas noches, que descanses!
530	AYER METRO AMETRALLADORA SOLDADO YO VER	Ayer en el metro vi a un soldado con su ametralladora.
423	CACAHUATES CON LIMÓN SAL YO ENCANTA COMER	Me encanta comer cacahuates con limón y sal.
784	POLLO YO QUERER COMER	Quiero comer pollo.
765	TÚ CUIDAR MUCHO MAÑANA VERNOS	Cuídate mucho, nos vemos mañana.
849	CHIMENEA TÚ ENCENDERfuego	Enciende la chimenea.
846	CHARLES-MICHEL-L´ÉPÉE PADRE SORDO	Charles-Michel de l’Épée es el “Padre de los Sordos”.
265	ESA MÁQUINA FALLA COMPONER NECESITA	Esa máquina falla mucho, se necesita que la compongan.
630	TÚ SUERTE OJALÁ	Deseo que tengas mucha suerte.
7	PERSONA ÉL ABOFETEAR MÍ	Esa persona me abofeteó.
305	MI COMPUTADORA PRENDER NO YO PREOCUPADO	Mi computadora no prende, estoy preocupado.
394	TODO CORREO-ELECTRÓNICO USAR ARROBA	Todos los correos usan arroba.
696	AYER YO YA IR GALERÍA	Ayer fui a la galería.
136	TIENDA CERCA DOS CUADRAS	La tienda más cercana está a dos cuadras.
507	MI HERMANO SUYA NOVIO+MUJER SEPARAR YA	Mi hermano terminó con su novia.
69	dm-CÉSAR SU BEBÉ BONITO	El bebé de César es muy bonito.
538	HOY WAL-MART BOMBA AIRE PARA MI PAPÁ YA YO COMPRAR	Hoy compré en Wal-Mart una bomba de aire para mi papá.
561	SIEMPRE CUANDO ACABAR BAÑAR YO PONER-DESODORANTE	Cuando me acabo de bañar siempre me pongo desodorante.
266	YA ELLOS ARRESTAR ÉL	Ellos lo arrestaron.
60	AYER BANCO dm-ROCÍO DINERO RETIRAR	Rocío retiró dinero ayer en el banco.
370	¿TÚ CREER TODOS ALMA TENER?	¿Crees que todos tenemos alma?
901	MAÑANA MI TÍO MUDARSE CASA	Mi tío se mudará de casa mañana.
367	DIARIO ALABANZA DIOS, NOSOTROS HACER	Todos los días hacemos alabanzas a Dios.
799	VILLAHERMOSA MUCHO CALOR	En Villahermosa hace mucho calor.
359	ADMINISTRACIÓN DELEGACIÓN ELLOS IR	Ellos fueron a la administración de la delegación.
967	YO NO-FUI VIDRIO ROMPER ROMPER	Yo no fui el que rompió el vidrio.
230	SEÑORA dm-MARÍA TENER COCINA	La señora María tiene una cocina.
690	YO CREER ESPÍRITU SANTO	Yo creo en el Espíritu Santo.
113	TODO PRODUCTO CÓDIGO-DE-BARRAS ETIQUETA HABER	Todos los productos se etiquetan con un código de barras.
881	HACE-TIEMPO ENRIQUE-PEÑA-NIETO GOBERNADOR ESTADO-DE-MÉXICO	Enrique Peña Nieto fue gobernador del Estado de México.
403	COMPETENCIA ATLETISMO MI AMIGO+MUJER YA INSCRIBIRSE	Mi amiga se inscribió en una competencia de atletismo.
465	ANTES CANCÚN IDA-Y-VENIR	Fui a Cancún de ida y vuelta.
295	YO DOLOR ESPALDA PORQUE AYER MUEBLE YO CARGAR	Me duele la espalda porque ayer cargué un mueble.
365	JUGUETE MI AHIJADO YO REGALAR ÉL YA	Le regalé un juguete a mi ahijado.
911	TÚ NO PREOCUPAR DEJARLO-ASÍ	No te preocupes, déjalo así.
803	MAÑANA TRABAJO dm-JUAN YO NOSOTROS-DE-DOS ACOMPAÑAR	Mañana Juan y yo nos acompañaremos al trabajo.
716	COLOR GRIS YO GUSTAR	Me gusta el color gris.
525	TODO AFORTUNADO	Tú eres muy afortunado en todo.
885	NOSOTROS-DE-DOS TERMINAR-COMO-AMIGOS	Terminamos como amigos.
340	¡AY! SORPRESA AQUÍ YO VER TI	¡Ay! qué sorpresa verte aquí.
962	CAMPESINO MAÍZ SEMBRAR	El campesino siembra maíz.
84	dm-DAVID SU PAPÁ BOMBERO	El papá de David es bombero.
676	MAÑANA YO DINERO DEPOSITAR BANCO	Mañana voy a depositar el dinero en el banco.
400	FILIPINAS SUYO ASIA	Filipinas está en Asia.
790	TÚ DEBER SEGUIR ESTUDIAR	Debes seguir estudiando.
369	DIARIO MI VECINO IR ALCOHÓLICOS-ANÓNIMOS	Mi vecino va diario a Alcohólicos Anónimos.
976	HERMANO ÚLTIMO DOCTOR-DIENTES	Mi hermano menor es dentista.
836	ANTES PRESIDENTE MÉXICO ¿QUIÉN? CARLOS-SALINAS-DE-GORTARI	¿Quién fue el presidente de México? Carlos Salinas de Gortari.
304	¿DÓNDE TUYO CÓMPLICE DÓNDE?	¿Dónde está tu cómplice?
469	ISLANDIA DÓNDE LUGAR EUROPA	Islandia se encuentra en Europa.
62	BANDERA CAER MIENTRAS CEREMONIA	La bandera se cayó durante la ceremonia.
453	YO CONOCER ÉL BIEN YA YO VER ÉL CONSTA	Yo lo conozco bien, me consta.
899	JABÓN BURBUJAS	El jabón hace burbujas.
875	CRISTIANA YO CREER FE	Yo creo en la fe cristiana.
652	AMETRALLADORA DIFERENTE YO NO-GUSTAR	A mí no me gustan las ametralladoras.
18	NOSOTROS IR JUGAR AFUERA	Vamos a jugar afuera.
206	ALBERCA YO NADAR	Yo nado en la alberca.
5	PERRO DEBAJO MESA	El perro está debajo de la mesa.
692	METRO LÍNEA NÚMERO 12 FALLO CONSTRUIR ARREGLAR	La línea 12 del metro tuvo un gran fallo estructural.
497	HOMBRE MUJERIEGO MUCHO	Hay muchos hombres mujeriegos.
519	NOSOTROS FUTBOL JUGAR GANAR ¡VIVA!	Ganamos el partido de futbol, ¡viva!
131	JOVEN HOMBRE CORTEJA ELLA SU NOVIO+MUJER	El muchacho corteja a su novia.
888	¿CUÁNTOS MÉXICO-NACIONAL SORDOS HABER?	¿Cuántos sordos hay en México?
97	MI HERMANO BICICLETA ÉL CAER	Mi hermano se cayó de la bicicleta.
738	LEGISLADOR YA PROPONER NUEVA LEY LSM	El legislador propuso una nueva ley de LSM.
622	VENTANA FILA GOBIERNO TRÁMITE ENTREGAR PAPEL DEBER PONER-SELLO	Entrega el trámite en la ventanilla de gobierno, deben poner un sello.
190	dm-MARÍA LOTERÍA GANAR AHORA MILLONARIA ELLA	María ganó la lotería, ahora es millonaria.
862	MAÑANA COMBI YO IR A MI CASA	Mañana me iré en combi a mi casa.
728	TU INE TÚ DEBER MOSTRAR PARA PERMISO PASAR	Debes mostrar tu INE para poder pasar.
273	¿DÓNDE BALÓN DÓNDE?	¿Dónde hay un balón?
472	FÁCIL APRENDER LETRA ABECEDARIO	Es fácil aprender las letras del abecedario.
260	APENAS, YO VER TI	Apenas te vi (hace poco).
557	AYER dm-JOSEFINA, dm-ALBERTO AMBOS DADOS JUGAR	Josefina y Alberto jugaron dados ayer.
280	SÍ YO GUSTAR JUGAR BOLICHE	A mí sí me gusta jugar boliche.
168	FRECUENTEMENTE YO IR CINE	Frecuentemente voy al cine.
282	YO VER BIEN YO BORROSO	No veo bien, veo borroso.
906	REFRIGERADOR HABER COMIDA CADUCADA	En el refrigerador hay comida caducada.
853	DECIR CHISME DIRECTOR ESO NO CIERTO	El rumor sobre el director no era cierto.
297	ELLA LLORAR PORQUE CEBOLLA PICAR	Ella llora porque pica cebolla.
832	UNA-VEZ MAÑANA FIESTA CANTAR	Mañana sólo cantaré una canción en la fiesta
761	NUESTRA CITA LUGAR TAXQUEÑA	Nuestra cita es en Taxqueña.
617	SECRETARIA ELLA COMPUTADORA CARTA ARCHIVO	La secretaria está capturando la carta.
139	MI AMIGO dm-RODOLFO DADIVOSO	Mi amigo Rodolfo es muy dadivoso.
643	dm-NOEMÍ YA ULTRASONIDO PARA SABER SUYO BEBE NIÑO NIÑO+MUJER	Noemí se hizo un ultrasonido para saber si su bebé era niño o niña.
355	NOSOTROS TENER MUCHA ACTIVIDAD DIFERENTE ESCUELA	Nosotros tenemos muchas actividades en la escuela.
528	ALGUIEN ÉL AYUDAR MÍ	Algunas personas son voluntarias en la Cruz Roja.
37	MAESTRO ALUMNOS REUNIÓN APARTE	El maestro se reunió aparte con sus alumnos.
868	AYER CONSTANCIA SECUNDARIA ELLOS DAR MÍ	Ayer me dieron la constancia de la secundaria.
671	ESA PERSONA COLMILLO TÚ CUIDAR	Esa persona es astuta, ten cuidado.
301	JUGUETE CARRO YO GUSTAR COLECCIONAR	Me gusta coleccionar carros de juguete.
